,Unnamed: 0.1,Unnamed: 0,class,tweet
0,0,0,0,as a woman you shouldnt complain about cleaning up your house as a man you should always take the trash out
1,40,40,0,momma said no pussy cats inside my doghouse
2,63,63,0,simplyaddictedtoguys woof woof hot scally lad
3,66,66,0,woof woof and hot soles
4,67,67,0,lemmie eat a oreo do these dishes one oreo lol
5,70,70,0,why the eggplant emoji doey he say she looked like scream lmao
6,75,75,0,baby monkey bathtime awwwwe this is soooo adorable
7,85,85,1,queer gaywad
8,89,89,1,alsarabsss hes a beaner smh you can tell hes a mexican
9,110,110,1,youre fucking gay blacklisted hoe holding out for tehgodclan anyway
10,115,115,0,baseball season for the win yankees this is where the love started
11,118,118,0,im an early bird and im a night owl so im wise and have worms
12,119,119,0,overdosing on heavy drugs doesnt sound bad tonight i do that pussy shit every day
13,120,120,0,pit bulls photographed as lovely fairy tale creatures they are fairy tale creatures
14,122,122,0,as long as the lakers trash from now on i could careless and thats real cc hahaha
15,124,124,0,this the i play soccer cheat on girls and wear khaki coloured cargos haircut yup
16,140,140,0,this isnt ghettoits smart im doing this idc
17,149,149,0,who wants to get there nose in these bad bois then scally chav sockfetish stinking hot sox and legs
18,158,158,0,peel up peel up bring it back up rewind back where im from they move shaq from the line ooooow who tf said that trash
19,164,164,0,ucfpinkparty come on stay alive knights nation this is still the early bird special comeatmeut
20,180,180,0,stay tuned to for an update on the report that will be out weeks bum
21,181,181,0,i play soccer cheat on girls and wear khaki coloured cargos haircut yes lmfao
22,184,184,1,lmfaoooo i hate black people this is why theres black people and niggers
23,186,186,0,a pissed lad past out i would lick his dirty soles while he slept
24,187,187,0,love frat boy w soft long soles
25,188,188,0,sexy lad with hot soles and arches
26,190,190,0,i got hicks lol
27,196,196,0,birds your grandkids may never see thanks to climate change climate
28,202,202,1,at least im not a nigger lmfao
29,204,204,1,ariza is a snake and a coward but at least he isnt a cripple like your hero roach lmaoo
30,205,205,0,fosters home for imaginary whoa chillthat show was everything tf
31,216,216,0,of welfaregovernment aid is claimed by white people so yall black slander is trash now
32,219,219,1,drakes new shoes that will be released by nikejordan yes theres glitter on the shoes dudes a fag
33,220,220,0,inna di ghetto you alone lmaoo
34,221,221,0,hoes teach us austini teach u how to get curved thats all i know
35,240,240,0,eli manning just threw his nflleading interception of the season lmao trash
36,241,241,0,usc senior rb anthony brown calls head coach steve sarkisian a racist and quits team hes a bitch
37,243,243,0,chilling sexy scally lad
38,247,247,0,tuku ho idk blah blah blah
39,248,248,0,im not mad cuh hahaha suure tuku ho ita
40,259,259,0,this scally lad would get it
41,260,260,1,gerryshalloweenparty halloween was yesterday stupid nigger
42,269,269,0,sad tv character deaths were still bitter over stark was the man
43,274,274,0,a smuggler explains how he helped fighters along the jihadi highway
44,283,283,0,down yankees look to rally in the bottom of the rallycap
45,312,312,1,is bored supposed to be cute you faggot sometimes
46,313,313,0,one mans trash is another mans treasure
47,315,315,1,lassen cc the coach wants me i feel it youll get more my nig no doubt
48,321,321,0,ashley young has tried to deny that bird s landed in his mouth gt hahaha
49,323,323,0,take me for a ride woof woof
50,329,329,0,sitting on my window sill window open bird tries to fly in smacked it protecttheanimals
51,331,331,0,a video an entire media will likely mock i am such a crybaby
52,336,336,0,jihadi patron hajjaj alajmi is arrested at kuwait airport
53,341,341,0,tweety bird tho
54,343,343,0,when twitter rappers dm me their trash links
55,349,349,1,jackies a retard blondeproblems at least i can make a grilled cheese
56,351,351,0,photo he is in sole heaven
57,352,352,1,stacey dash won baddest bitch evaaaa
58,356,356,0,we actin like its the day
59,364,364,0,colored contacts in your eyesblinders on minecause i cant see you at all lmao
60,370,370,0,swears im man easily easily behind austin nip
61,372,372,0,hgwells and charlie chaplin history photography
62,379,379,0,i told mariam to but cigarettes for her birthdayyou also called me trash rn
63,380,380,0,brownies tonight what kind
64,384,384,0,fit lads nice gear these scally lads n trainers would get it
65,391,391,0,i saw an ajumma walk out in the beginning saying wow this is so trash that i cant even listen to it lmaoo
66,395,395,0,dude remember this wop video omg where did you find that
67,397,397,0,rawr my sexy french scally i love him frenchscally sexy scally woof woof
68,414,414,0,baby albino
69,424,424,0,bae sounds like such a ghetto word use something else
70,428,428,0,brownies for my brownie i love this movie
71,432,432,0,chinese maverick we were communicating comrade u know giving the imperialist yanks the birdie
72,437,437,1,dont worry about the nigga you see worry about the nigga you dont see dats da nigga fuckin yo bitch
73,449,449,0,generate ascii boxes with nodejs all i see is the ability to bring flappybird in node via ascii tubes and bird
74,459,459,1,hey go look at that video of the man that found the kidnapped girls in ohiowhat a nigger shitmybosssays
75,461,461,0,how about we draft all those gungho folks and send them to afghanistan or other war zones so they can show their
76,466,466,0,i am a thrill billywith a hillbilly heart hahahahaha jesus murphy
77,473,473,0,i found a new way to chug you have to open your mouth alot shitallysays
78,494,494,0,ill slit your throatneck
79,509,509,0,is that an albino mexicanno dad hes asian
80,515,515,0,just follow the yellow brick twitter
81,517,517,0,lol cripple wendy davis scientists create remotecontrolled chick to study shy penguins
82,519,519,1,lets kill cracker babies wtf did i just hear wow
83,523,523,0,mam doet in haar rol net of ze ongesteld is wat is ongesteld van dat soort vragen waar je denkt hoe leg ik die weer uit
84,525,525,0,mine plays dmx and kirk franklin smh well my neighbors are ghetto they get up at like and beat their kids
85,526,526,1,my grandma used to call me a porch monkey all the time come to think of it she did refer to a broken bottle as a nigger knife
86,531,531,1,nah its you yo i thought photoshopped my face on that faggot smmfhi hate yall
87,537,537,0,ovo kendrick lamar still
88,539,539,0,only a couple of red sox have gotten past first base im dying laughing maybe the yanks need to teach them some game
89,540,540,1,our people now is the time for the aryan race stand up and say no more before the mongerls turn the world into a ghetto slum
90,561,561,0,the devil grows inside the hearts of the selfish and wickedwhite brown yellow and black color is not restricted
91,562,562,0,the water isnt yellow im a healthy student
92,565,565,1,these sour apple bitter bitches im not fuckin wit em
93,568,568,0,they have to that division is trash saints gon win the nfc southwatch
94,571,571,0,this recipe calls for a leftover brownie what the hell is a leftover brownie thats just a brownie you havent eaten yet
95,575,575,0,two roads diverged in a yellow wood and i chose the one to robert frost giant
96,582,582,1,we hate niggers we hate faggots and we hate spicskkk rally
97,583,583,1,were out here and were queer hut we like it in our butt
98,587,587,1,who the fuck you callin jiggaboo nigga
99,588,588,1,why people think gay marriage is okay is beyond me sorry i dont want my future son seeing fags walking down the street holding hands an
100,597,597,0,yah has said in his word that the mtzraymegyptians are his people and ysrahal is his inheritance and the kushiteethiopians
101,598,598,0,yaoooooooo mawnin yardies
102,603,603,1,you aint gunna do shit spear chucker
103,611,611,0,you hit no lights no line for toco bell at in he morning and dianas back in her house its a miracle charlie
104,613,613,0,you look like little birds help you get dressed in the morning
105,614,614,1,you ol trout mouth ass bitch deeeeaaaadd
106,621,621,0,your teeth are like the stars aww thanks yeah yellow and far away from each other
107,625,625,1,ayo i even kill handicapped and crippled bitcheslook at my scalp real close and youll see triple sixes
108,635,635,1,fuck you you pussy ass hater go suck a dick and die quick someone to me in youtube comments i think wed be good friends
109,636,636,0,hick and raver is a venn diagram that has a very large intersection
110,646,646,1,on my way to fuck your bitch in the name of the lord mr race
111,647,647,1,poor whitey
112,652,652,0,when rappers say twat it makes me feel weird
113,660,660,0,snoop and justin are having so much fun at this charlie wilson tribute betawards
114,663,663,1,azmonsoon lot of rain too bad it wasnt enough to wash away the teabagger racist white trash in the state tcot teaparty azflooding
115,668,668,0,askdems arent you embarrassed that charlie rangel remains in your caucus
116,670,670,0,breaking ap calls mass governor race for charlie baker watch live coverage on wcvb streaming online
117,674,674,0,bigbird was made by a gay couple so yes under a gop world the bird would not have existed since its creators would be in jail for sodomy
118,676,676,0,blessjesus amos can two walk together except they be agreed
119,677,677,0,blessjesus amos there are those who hate the one who upholds justice in court and detest the one who tells the truth
120,678,678,0,blessjesus the crown of his head to the sole of his feet
121,679,679,0,blessjesusair matthew look at the birds of the air and yet your heavenly father feeds themare you not much more valuable than they
122,680,680,0,blessjesuslove happy belated sixtyfifth birthday aunt mary agnes strong
123,683,683,1,california is full of white trash
124,684,684,1,california is full of white trash who moved from oklahoma
125,687,687,0,commonquestionigetwhy uou so ghetto
126,690,690,1,dtla is trash because of noneuropeans are allowed to live there
127,697,697,0,degenerateartist sniffs whiffy balls involuntary cuz a fairy walks downtown hairy climatechange all our scary sense of hillbilly sneezegt
128,698,698,0,derekjeter as a lifelong yankees man i will miss you firstballotunanimous
129,699,699,1,dutch farmers are white trash
130,700,700,1,dutch people who live outside of newyorkcity are all white trash
131,701,701,0,earlybird early morning sunrise dawn bird thebird jerryreed kansas city
132,702,702,0,ebola great and i thought the panic from bird flu was bad i really aint got time for that
133,703,703,0,ebola is a great metaphor for how gop teaparty policies eat off of vital organs until the host dies tcot teabaggers
134,704,704,0,explainananimeplotbadly boy with a monkey tail grows up to the the savior of a futuristic yet old earth
135,707,707,0,femalelogic is worse than the jig im convinced
136,708,708,0,firecashman why because i am having to root for the royals in october yankees
137,712,712,0,glory isaiah mom asked me if i wanted a brownie i said no thanks she said what are fasting
138,713,713,0,holidayseasonlive shy glizzy feat plies free tha gang
139,714,714,0,happycolumbusday if is wasnt for americakarlmarx would never have thought of sharing colonialism with injuns
140,715,715,0,happycolumbusday hate to sound all peta callous and allbut buffalo had it a lot worse than the injuns
141,717,717,0,hellyeah no happy fall pumpkin spice oreos are here
142,718,718,0,hellobrookland were here at the opening serving free sles of cider vegan sliders brownies
143,719,719,0,holyspirit joshua every place that the sole of your foot shall tread upon that have i given unto you as i said unto moses
144,724,724,0,iu straight nation college soccer chions wow hoosiernation hoosiers
145,725,725,0,iu should make me an honorary student id be way cooler than the other international students i have my own football card hoosiers
146,729,729,0,indigenouspeoplesday right because these redskins had a lot of queens right nomg sofunny
147,731,731,1,iowa is full of white trash
148,732,732,0,iraq gov troops were handed a severe defeat by isis at saqlawiya theres chatter of over soldiers lost jihadis raving about it
149,733,733,1,jesuschrist was straightgt thats why the faggots killed him period sonofgodgt
150,738,738,1,minnesota is full of white trash
151,741,741,0,np centuries fob
152,743,743,0,natitude okay im only going to say it once comb yer beards lol wiggers
153,744,744,0,nowplaying bt feat tori amos blue skies radio edit on
154,745,745,0,nowplaying great white once bitten twice shy on
155,746,746,0,nowplaying ian hunter once bitten twice shy on
156,747,747,0,nowplaying the doors the wasp texas radio and the big beat on
157,750,750,0,pdplive is on november get your early bird tickets from
158,751,751,0,pacernation on the road perfect way to continue after iubb have finished nba pacers indiana hoosiers
159,756,756,0,radiofreenorthwest reads responses mocks fbi andy on real politics liv on her awakening gretchen
160,759,759,1,reasonswecantbetogether if u was talkin to my nig or smashed da homies
161,762,762,1,rebelscience is using an actual woman as a genetic engineering lab for all natural clones or something faggot rome
162,763,763,0,redsox focus on the orioles that knocked you out last year and not your hatred of the yankees for umteen years lol
163,765,765,0,royals fantastic ready for tomorrows sweep of the disposed os yankees except this month
164,766,766,0,royals milwaukee let yost gonow they wished they hadnt cause they suckhow about nowhes the guy win or lose yankees fire girardi
165,767,767,0,ruinacomedian charlie lapdance
166,774,774,0,skating is for trash
167,775,775,1,slightlyadjusted alls niggers wanna do is fuck tweet and drink pineapple soda all day
168,776,776,1,somethingigetalot are you asian black hawaiian gay retarded drunk
169,777,777,1,southcarolina is full of white trash
170,779,779,0,stopwhitepeople cases of west nile virus infections reported in orange county this year dead birds found carrying virus
171,780,780,0,tbt love you forever ling ling
172,781,781,0,theboondocks at my nicca
173,782,782,0,truth david is the charlie brown of scandal
174,788,788,1,thingsiwillteachmychild how to play deez niggas n bitches dat be snakes
175,792,792,1,trayvonmartin referred to zimmerman as a creepy ass cracker racist thug
176,793,793,1,do the pontiac sprinklernigga nigga nigga nigga spic spic spic spic nigga nigga nigga nigga
